DepMap ID,cell line name
ACH-000053,KARPAS299
ACH-000061,HH
ACH-000077,MJ
ACH-000101,KE37
ACH-000104,LOUCY
ACH-000105,ALLSIL
ACH-000122,SUPT11
ACH-000197,TALL1
ACH-000206,C8166
ACH-000226,SUPM2
ACH-000338,SR786
ACH-000372,P12ICHIKAWA
ACH-000509,HUT78
ACH-000519,PEER
ACH-000612,HUT102
ACH-000636,RPMI8402
ACH-000664,SUDHL1
ACH-000773,KIJK
ACH-000795,MOLT13
ACH-000918,MOLT16
ACH-000937,PF382
ACH-000942,HPBALL
ACH-000953,SUPT1
ACH-000964,MOLT3
ACH-000981,DND41
ACH-000995,JURKAT
ACH-001057,DERL2
ACH-001060,DL40
ACH-001068,FEPD
ACH-001097,KARPAS384
ACH-001111,L82
ACH-001119,MAC2A
ACH-001127,MOLT4
ACH-001130,MOTN1
ACH-001134,MYLA
ACH-001147,OCILY12
ACH-001197,SMZ1
ACH-001737,CTV1DM
ACH-001738,CCRFCEM
ACH-002058,ATN1
ACH-002216,BE13
ACH-002222,CTV1
ACH-002240,H9
ACH-002256,KARPAS45